Year,Month,Line,DayType,Riders,Shakeup,Provider,Mode,Days
2015,7,176,DX,1848,201506,DO,Bus,23
2018,8,200,DX,11347,201806,DO,Bus,23
2014,10,177,DX,166,201406,PT,Bus,23
2017,8,605,DX,2086,201706,PT,Bus,23
2014,10,165,DX,8902,201406,DO,Bus,23
2018,10,780,DX,8164,201806,DO,Bus,23
2019,10,155,DX,1457,201906,DO,Bus,23
2017,3,76,DX,9178,201612,DO,Bus,23
2016,3,268,DX,1869,201601,DO,Bus,23
2022,8,212,DX,8119,202206,DO,Bus,23
2010,3,243,DX,2470,200912,DO,Bus,23
2010,3,740,DX,9258,200912,DO,Bus,23
2018,8,117,DX,8893,201806,DO,Bus,23
2016,3,254,DX,818,201601,PT,Bus,23
2015,7,625,DX,362,201506,PT,Bus,23
2017,8,71,DX,1584,201706,DO,Bus,23
2022,3,690,DX,1229,202202,DO,Bus,23
2015,7,612,DX,1491,201506,DO,Bus,23
2017,3,126,DX,196,201612,DO,Bus,23
2011,8,266,DX,4261.95652173913,201106,PT,Bus,23
2023,8,602,DX,1056,202306,DO,Bus,23
2016,8,125,DX,5008,201606,PT,Bus,23
2014,10,750,DX,4452,201406,DO,Bus,23
2012,10,33,DX,13686,201206,DO,Bus,23
2016,3,70,DX,11037,201601,DO,Bus,23
2023,3,237,DX,1390,202212,DO,Bus,23
2016,8,605,DX,2246,201606,PT,Bus,23
2018,10,35,DX,8655,201806,DO,Bus,23
2012,10,442,DX,283,201206,DO,Bus,23
2009,7,45,DX,20841,200906,DO,Bus,23
2013,10,267,DX,4481,201306,DO,Bus,23
2021,3,770,DX,2842,202012,DO,Bus,23
2023,3,169,DX,1817,202212,DO,Bus,23
2022,3,210,DX,9976,202202,DO,Bus,23
2020,7,605,DX,696,202006,PT,Bus,23
2011,3,120,DX,4521,201012,DO,Bus,23
2011,3,740,DX,8740,201012,DO,Bus,23
2020,7,127,DX,343,202006,DO,Bus,23
2016,8,30,DX,13464,201606,DO,Bus,23
2022,3,256,DX,684,202202,PT,Bus,23
2012,10,710,DX,8873,201206,DO,Bus,23
2023,3,265,DX,823,202212,DO,Bus,23
2022,8,232,DX,3568,202206,PT,Bus,23
2022,8,258,DX,1409,202206,DO,Bus,23
2019,10,720,DX,28937,201906,DO,Bus,23
2016,3,33,DX,11055,201601,DO,Bus,23
2015,7,108,DX,16849,201506,DO,Bus,23
2012,8,161,DX,1414,201206,DO,Bus,23
2021,3,245,DX,769,202012,DO,Bus,23
2017,8,110,DX,8293,201706,DO,Bus,23
2013,10,344,DX,2056,201306,DO,Bus,23
2023,3,125,DX,3837,202212,PT,Bus,23
2020,7,762,DX,1746,202006,DO,Bus,23
2011,3,206,DX,13681,201012,DO,Bus,23
2009,7,232,DX,5984.91304347826,200906,PT,Bus,23
2017,8,96,DX,1408,201706,PT,Bus,23
2017,8,158,DX,1957,201706,DO,Bus,23
2009,7,217,DX,10945,200906,DO,Bus,23
2021,3,806,DX,18521,202012,DO,Rail,23
2017,8,40,DX,15171,201706,DO,Bus,23
2012,10,620,DX,282,201206,DO,Bus,23
2018,8,780,DX,7461,201806,DO,Bus,23
2012,8,152,DX,13277,201206,DO,Bus,23
2017,3,108,DX,16301,201612,DO,Bus,23
2018,8,757,DX,11656,201806,DO,Bus,23
2023,8,487,DX,1201,202306,DO,Bus,23
2022,3,30,DX,8566,202202,DO,Bus,23
2017,8,177,DX,217,201706,PT,Bus,23
2012,8,740,DX,3868,201206,DO,Bus,23
